201,홍은1동 주민센터,02-330-8129,서울특별시 서대문구 홍은중앙로 85
202,홍은2동 주민센터,02-330-8133,서울특별시 서대문구 모래내로 334
203,북가좌1동 주민센터,02-330-8139,서울특별시 서대문구 수색로 100-55
204,북가좌2동 주민센터,02-330-8141,서울특별시 서대문구 응암로1길 10
205,남가좌1동 주민센터,02-330-8135,서울특별시 서대문구 모래내로15길 37
206,남가좌2동 주민센터,02-330-8137,서울특별시 서대문구 증가로10길 28
207,공덕동 주민센터,02-3153-6500,서울특별시 마포구 만리재옛길 84
208,아현동 주민센터,02-3153-6530,서울특별시 마포구 마포대로7길 18
209,도화동 주민센터,02-3153-6560,서울특별시 마포구 도화길 37
210,용강동 주민센터,02-3153-6590,서울특별시 마포구 토정로31길 31
211,염리동 주민센터,02-3153-6650,서울특별시 마포구 숭문길 14
212,대흥동 주민센터,02-3153-6620,서울특별시 마포구 신촌로26길 10
213,신수동 주민센터,02-3153-6680,서울특별시 마포구 독막로 192
214,서강동 주민센터,02-3153-6710,서울특별시 마포구 독막로 165
215,서교동 주민센터,02-3153-6740,서울특별시 마포구 동교로15길 7
216,합정동 주민센터,02-3153-6770,서울특별시 마포구 동교로8길 58
217,망원1동 주민센터,02-3153-6800,서울특별시 마포구 포은로6길 10
218,망원2동 주민센터,02-3153-6830,서울특별시 마포구 방울내로7길 11
219,연남동 주민센터,02-3153-6860,서울특별시 마포구 성미산로29길 17-9
220,성산1동 주민센터,02-3153-6890,서울특별시 마포구 성산로4길 15
221,성산2동 주민센터,02-3153-6920,서울특별시 마포구 월드컵북로30길 22
222,상암동 주민센터,02-3153-6950,서울특별시 마포구 매봉산로2길 16
223,신월1동 주민센터,02-2620-4050,서울특별시 양천구 중앙로32길 1
224,신월2동 주민센터,02-2620-4070,서울특별시 양천구 목동동로 154
225,신월3동 주민센터,02-2620-4090,서울특별시 양천구 중앙로 209
226,신월4동 주민센터,02-2620-4110,서울특별시 양천구 은행정로11가길 8
227,신월5동 주민센터,02-2620-4130,서울특별시 양천구 목동서로 353
228,신월6동 주민센터,02-2620-4150,서울특별시 양천구 목동동로 37
229,신정3동 주민센터,02-2620-4230,서울특별시 양천구 중앙로 209
230,목1동 주민센터,02-2620-3492,서울특별시 양천구 목동서로 192
231,목2동 주민센터,02-2620-3960,서울특별시 양천구 목동중앙본로 120
232,목3동 주민센터,02-2620-3980,서울특별시 양천구 목동중앙남로16나길 55
233,목4동 주민센터,02-2620-4000,서울특별시 양천구 목동중앙로 25
234,목5동 주민센터,02-2620-4020,서울특별시 양천구 목동서로 41
235,신월7동 주민센터,02-2620-4170,서울특별시 양천구 곰달래로1길 38
236,신정1동 주민센터,02-2620-4190,서울특별시 양천구 중앙로53길 47
237,신정2동 주민센터,02-2620-4210,서울특별시 양천구 남부순환로54길 5
238,신정4동 주민센터,02-2620-4250,서울특별시 양천구 화곡로4길 10
239,신정6동 주민센터,02-2620-4285,서울특별시 양천구 신남3길 6
